Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,11,76,32
File,"AbstractRewriteMojo.java",,,,45,288,10
File,"BasicIT.java",,,,1,19,0
File,"CycloneDxBomMojo.java",,,,3,44,5
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"EmptyBlockSample.java",,,,12,31,0
File,"MavenLoggingMeterRegistry.java",,,,44,183,16
Public Class,"MavenWrapperDownloader",17,0,0,10,72,17
Private Static Method,"MavenWrapperDownloader.downloadFileFromURL",,,,2,19,0
Anonymous Class,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1)",3,0,0,1,5,0
Protected Method,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1).getPasswordAuthentication",,,,1,4,0
File,"MavenWrapperDownloader.java",,,,11,76,32
Public Static Method,"MavenWrapperDownloader.main",,,,8,43,3
File,"MeterRegistryProvider.java",,,,21,104,2
File,"MyInterface.java",,,,0,3,0
File,"MyInterface.java",,,,0,3,0
File,"MyInterface.java",,,,0,3,0
File,"MyInterface.java",,,,0,3,0
File,"PomCacheIT.java",,,,2,35,0
File,"RewriteCycloneDxIT.java",,,,3,66,0
File,"RewriteDiscoverIT.java",,,,11,49,0
File,"RewriteDiscoverMojo.java",,,,33,129,3
File,"RewriteDryRunIT.java",,,,6,30,0
File,"RewriteDryRunMojo.java",,,,6,48,18
File,"RewriteRunIT.java",,,,6,33,0
File,"RewriteRunMojo.java",,,,13,94,21
File,"Sample.java",,,,0,3,0
File,"SampleA.java",,,,0,3,0
File,"SampleA.java",,,,0,3,0
File,"SampleA.java",,,,0,3,0
File,"SampleB.java",,,,0,3,0
File,"SampleB.java",,,,0,3,0
File,"SampleB.java",,,,0,3,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"SimplifyBooleanSample.java",,,,4,18,0
File,"UsingRecipesFromExternalDependenciesIT.java",,,,16,83,3
Package,"org",,,,0,0,0
Package,"org.openrewrite",,,,0,0,0
Package,"org.openrewrite.maven",,,,210,1206,93
Public Abstract Class,"org.openrewrite.maven.AbstractRewriteMojo",45,81,75,37,258,10
Public Static Class,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer",5,33,33,8,30,1
Public Constructor,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer.ResultsContainer",,,,6,17,1
Public Method,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer.getProjectRoot",,,,1,3,0
Public Method,"org.openrewrite.maven.AbstractRewriteMojo.ResultsContainer.isNotEmpty",,,,1,3,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.environment",,,,5,22,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.environment.(lambda_expr_1)",,,,1,1,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.executionContext",,,,3,8,4
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.executionContext.(lambda_expr_1)",,,,2,6,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.getBaseDir",,,,3,13,2
Protected Static Method,"org.openrewrite.maven.AbstractRewriteMojo.listJavaSources",,,,6,21,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listJavaSources.(lambda_expr_1)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listJavaSources.(lambda_expr_2)",,,,2,7,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.listResults",,,,6,76,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listResults.(lambda_expr_1)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listResults.(lambda_expr_2)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.listResults.(lambda_expr_3)",,,,1,1,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.logRecipesThatMadeChanges",,,,2,5,0
Protected Method,"org.openrewrite.maven.AbstractRewriteMojo.parseMaven",,,,12,56,3
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.parseMaven.(lambda_expr_1)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.parseMaven.(lambda_expr_2)",,,,1,1,0
Lambda Method,"org.openrewrite.maven.AbstractRewriteMojo.parseMaven.(lambda_expr_3)",,,,2,8,0
Public Class,"org.openrewrite.maven.BasicIT",5,0,0,1,12,0
Method,"org.openrewrite.maven.BasicIT.groupid_artifactid_should_be_ok",,,,1,9,0
Public Class,"org.openrewrite.maven.CycloneDxBomMojo",15,50,50,3,29,5
Private Method,"org.openrewrite.maven.CycloneDxBomMojo.buildCycloneDxBom",,,,2,14,2
Public Method,"org.openrewrite.maven.CycloneDxBomMojo.execute",,,,1,8,0
Public Class,"org.openrewrite.maven.MavenLoggingMeterRegistry",35,92,92,23,162,1
Public Constructor,"org.openrewrite.maven.MavenLoggingMeterRegistry.MavenLoggingMeterRegistry",,,,1,4,0
Class,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer",10,62,37,12,37,1
Constructor,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.Printer",,,,1,3,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.count",,,,1,3,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.humanReadableBaseUnit",,,,3,7,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.humanReadableByteCount",,,,2,7,0
Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.id",,,,2,5,0
Lambda Method,"org.openrewrite.maven.MavenLoggingMeterRegistry.Printer.id.(lambda_expr_1)",,,,1,1,0
